"GEO_ID","NAME","K202402_001E","K202402_001EA","K202402_001M","K202402_001MA","K202402_002E","K202402_002EA","K202402_002M","K202402_002MA","K202402_003E","K202402_003EA","K202402_003M","K202402_003MA","K202402_004E","K202402_004EA","K202402_004M","K202402_004MA","K202402_005E","K202402_005M","K202402_005MA","K202402_005EA","K202402_006E","K202402_006EA","K202402_006M","K202402_006MA","K202402_007E","K202402_007EA","K202402_007M","K202402_007MA","K202402_008E","K202402_008EA","K202402_008M","K202402_008MA","K202402_009E","K202402_009EA","K202402_009M","K202402_009MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Employee of private company workers","Annotation of Estimate!!Total:!!Employee of private company workers","Margin of Error!!Total:!!Employee of private company workers","Annotation of Margin of Error!!Total:!!Employee of private company workers","Estimate!!Total:!!Self-employed in own incorporated business workers","Annotation of Estimate!!Total:!!Self-employed in own incorporated business workers","Margin of Error!!Total:!!Self-employed in own incorporated business workers","Annotation of Margin of Error!!Total:!!Self-employed in own incorporated business workers","Estimate!!Total:!!Private not-for-profit wage and salary workers","Annotation of Estimate!!Total:!!Private not-for-profit wage and salary workers","Margin of Error!!Total:!!Private not-for-profit wage and salary workers","Annotation of Margin of Error!!Total:!!Private not-for-profit wage and salary workers","Estimate!!Total:!!Local government workers","Margin of Error!!Total:!!Local government workers","Annotation of Margin of Error!!Total:!!Local government workers","Annotation of Estimate!!Total:!!Local government workers","Estimate!!Total:!!State government workers","Annotation of Estimate!!Total:!!State government workers","Margin of Error!!Total:!!State government workers","Annotation of Margin of Error!!Total:!!State government workers","Estimate!!Total:!!Federal government workers","Annotation of Estimate!!Total:!!Federal government workers","Margin of Error!!Total:!!Federal government workers","Annotation of Margin of Error!!Total:!!Federal government workers","Estimate!!Total:!!Self-employed in own not incorporated business workers","Annotation of Estimate!!Total:!!Self-employed in own not incorporated business workers","Margin of Error!!Total:!!Self-employed in own not incorporated business workers","Annotation of Margin of Error!!Total:!!Self-employed in own not incorporated business workers","Estimate!!Total:!!Unpaid family workers","Annotation of Estimate!!Total:!!Unpaid family workers","Margin of Error!!Total:!!Unpaid family workers","Annotation of Margin of Error!!Total:!!Unpaid family workers",
"0500000US21073","Franklin County, Kentucky","25916","null","1489","null","15300","null","1518","null","479","null","362","null","778","null","588","null","2865","1148","null","null","4536","null","1147","null","813","null","493","null","1145","null","663","null","0","null","208","null",
"0500000US21081","Grant County, Kentucky","12063","null","1271","null","9205","null","1405","null","585","null","512","null","450","null","334","null","1219","636","null","null","147","null","185","null","89","null","144","null","368","null","269","null","0","null","208","null",
"0500000US21083","Graves County, Kentucky","14228","null","1526","null","10361","null","1403","null","745","null","456","null","778","null","521","null","622","402","null","null","324","null","316","null","183","null","256","null","1215","null","736","null","0","null","208","null",
"0500000US21085","Grayson County, Kentucky","9719","null","1136","null","6758","null","1216","null","87","null","101","null","751","null","581","null","1017","689","null","null","304","null","204","null","239","null","256","null","563","null","299","null","0","null","208","null",
"0500000US21089","Greenup County, Kentucky","13449","null","1468","null","7850","null","1284","null","757","null","457","null","2102","null","685","null","735","317","null","null","721","null","401","null","783","null","438","null","501","null","323","null","0","null","208","null",
"0500000US21093","Hardin County, Kentucky","48060","null","3129","null","32124","null","3089","null","1771","null","861","null","2690","null","1031","null","2449","777","null","null","2167","null","781","null","4633","null","1504","null","2226","null","868","null","0","null","208","null",
"0500000US21095","Harlan County, Kentucky","8350","null","1135","null","5368","null","844","null","95","null","94","null","1255","null","555","null","759","368","null","null","385","null","239","null","38","null","48","null","450","null","231","null","0","null","208","null",
"0500000US21101","Henderson County, Kentucky","19588","null","1398","null","14404","null","1633","null","1477","null","896","null","1090","null","539","null","1035","530","null","null","463","null","332","null","61","null","114","null","959","null","502","null","99","null","161","null",
"0500000US21107","Hopkins County, Kentucky","18359","null","1494","null","11094","null","1300","null","220","null","224","null","2290","null","860","null","1942","1003","null","null","1783","null","802","null","251","null","273","null","662","null","416","null","117","null","117","null",
"0500000US21111","Jefferson County, Kentucky","381978","null","6776","null","276757","null","7578","null","10653","null","1653","null","38395","null","3838","null","20594","2746","null","null","11507","null","1851","null","6204","null","1350","null","17620","null","2368","null","248","null","256","null",
"0500000US21113","Jessamine County, Kentucky","23662","null","1727","null","15390","null","1883","null","855","null","494","null","1964","null","668","null","1556","640","null","null","1975","null","786","null","133","null","172","null","1789","null","752","null","0","null","208","null",
"0500000US21115","Johnson County, Kentucky","8445","null","1528","null","5108","null","1128","null","0","null","208","null","518","null","525","null","974","659","null","null","1231","null","677","null","207","null","204","null","407","null","523","null","0","null","208","null",
"0500000US21117","Kenton County, Kentucky","85443","null","3225","null","61471","null","3587","null","1207","null","460","null","10320","null","2240","null","5656","1316","null","null","1898","null","635","null","1555","null","547","null","3062","null","1022","null","274","null","310","null",
"0500000US21121","Knox County, Kentucky","8024","null","1559","null","5580","null","1314","null","41","null","72","null","1007","null","650","null","533","507","null","null","25","null","48","null","553","null","379","null","285","null","290","null","0","null","208","null",
"0500000US21125","Laurel County, Kentucky","26178","null","1840","null","18709","null","1874","null","566","null","406","null","2476","null","883","null","1666","658","null","null","756","null","551","null","314","null","322","null","1511","null","567","null","180","null","289","null",
"0500000US21133","Letcher County, Kentucky","5688","null","1661","null","2834","null","996","null","0","null","208","null","312","null","234","null","1384","841","null","null","434","null","341","null","102","null","131","null","622","null","557","null","0","null","208","null",
"0500000US21137","Lincoln County, Kentucky","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US21141","Logan County, Kentucky","11646","null","954","null","8153","null","1042","null","146","null","155","null","1058","null","522","null","688","521","null","null","779","null","463","null","79","null","113","null","743","null","456","null","0","null","208","null",
"0500000US21145","McCracken County, Kentucky","28037","null","2242","null","17619","null","2112","null","1658","null","759","null","2773","null","868","null","2396","994","null","null","1104","null","883","null","691","null","418","null","1686","null","763","null","110","null","188","null",
"0500000US21151","Madison County, Kentucky","45390","null","2575","null","29495","null","2668","null","1561","null","674","null","3432","null","943","null","2935","877","null","null","2858","null","870","null","1494","null","677","null","3307","null","1336","null","308","null","327","null",
"0500000US21157","Marshall County, Kentucky","14452","null","1771","null","9709","null","1637","null","582","null","433","null","1038","null","620","null","1318","514","null","null","661","null","380","null","720","null","530","null","375","null","288","null","49","null","97","null",
"0500000US21163","Meade County, Kentucky","10815","null","1506","null","7493","null","1375","null","660","null","370","null","790","null","527","null","637","427","null","null","203","null","175","null","583","null","283","null","449","null","298","null","0","null","208","null",
"0500000US21167","Mercer County, Kentucky","8654","null","1359","null","6199","null","1063","null","223","null","201","null","775","null","351","null","250","168","null","null","651","null","436","null","320","null","371","null","236","null","226","null","0","null","208","null",
"0500000US21173","Montgomery County, Kentucky","11406","null","1288","null","8447","null","1296","null","377","null","395","null","257","null","224","null","650","368","null","null","869","null","524","null","141","null","153","null","610","null","450","null","55","null","115","null",
"0500000US21177","Muhlenberg County, Kentucky","13304","null","1436","null","8685","null","1562","null","214","null","184","null","1662","null","798","null","757","439","null","null","645","null","730","null","586","null","458","null","731","null","564","null","24","null","50","null",
"0500000US21179","Nelson County, Kentucky","23133","null","1413","null","17635","null","1607","null","785","null","485","null","641","null","341","null","1775","734","null","null","1261","null","669","null","523","null","394","null","495","null","314","null","18","null","32","null",
"0500000US21183","Ohio County, Kentucky","10000","null","1017","null","6457","null","1077","null","199","null","210","null","807","null","351","null","1663","700","null","null","264","null","207","null","81","null","109","null","529","null","334","null","0","null","208","null",
"0500000US21185","Oldham County, Kentucky","33478","null","1778","null","22821","null","1780","null","1600","null","697","null","3729","null","1031","null","2390","717","null","null","731","null","403","null","595","null","336","null","1288","null","575","null","324","null","417","null",
"0500000US21193","Perry County, Kentucky","9050","null","1857","null","5562","null","1425","null","0","null","208","null","1627","null","1221","null","424","332","null","null","727","null","573","null","78","null","116","null","632","null","431","null","0","null","208","null",
"0500000US21195","Pike County, Kentucky","18125","null","1920","null","10527","null","1728","null","283","null","242","null","3076","null","971","null","1540","636","null","null","1786","null","729","null","316","null","327","null","597","null","350","null","0","null","208","null",
"0500000US21199","Pulaski County, Kentucky","24822","null","2015","null","16299","null","2295","null","1319","null","1013","null","1872","null","784","null","2149","1019","null","null","1043","null","538","null","320","null","271","null","1797","null","859","null","23","null","42","null",
"0500000US21205","Rowan County, Kentucky","9791","null","1552","null","5551","null","1418","null","271","null","313","null","787","null","457","null","338","243","null","null","2280","null","791","null","330","null","444","null","234","null","285","null","0","null","208","null",
"0500000US21209","Scott County, Kentucky","29598","null","1159","null","20335","null","1615","null","1204","null","545","null","2280","null","933","null","1917","744","null","null","2079","null","678","null","616","null","430","null","1167","null","574","null","0","null","208","null",
"0500000US21211","Shelby County, Kentucky","22612","null","1211","null","15471","null","1578","null","1197","null","869","null","1680","null","768","null","1102","460","null","null","1191","null","626","null","154","null","176","null","1725","null","779","null","92","null","144","null",
"0500000US21217","Taylor County, Kentucky","11661","null","1351","null","8795","null","1356","null","377","null","375","null","1103","null","548","null","385","314","null","null","110","null","149","null","15","null","30","null","585","null","373","null","291","null","412","null",
"0500000US21227","Warren County, Kentucky","68606","null","2875","null","48368","null","3147","null","2212","null","877","null","4773","null","1280","null","4883","1410","null","null","3280","null","1092","null","1104","null","622","null","3897","null","1124","null","89","null","110","null",
"0500000US21231","Wayne County, Kentucky","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US21235","Whitley County, Kentucky","13523","null","1854","null","8288","null","1807","null","553","null","433","null","1294","null","628","null","1163","802","null","null","513","null","379","null","468","null","404","null","1157","null","851","null","87","null","181","null",
"0500000US21239","Woodford County, Kentucky","14157","null","1294","null","7950","null","1003","null","463","null","275","null","1808","null","739","null","1106","503","null","null","1669","null","835","null","55","null","98","null","1038","null","449","null","68","null","96","null",
"0500000US22001","Acadia Parish, Louisiana","25262","null","2626","null","16513","null","2154","null","1137","null","628","null","492","null","411","null","2294","1068","null","null","823","null","504","null","390","null","331","null","3440","null","1247","null","173","null","253","null",
"0500000US22003","Allen Parish, Louisiana","7129","null","1618","null","5238","null","1536","null","130","null","216","null","262","null","261","null","888","667","null","null","127","null","156","null","200","null","177","null","284","null","246","null","0","null","230","null",
"0500000US22005","Ascension Parish, Louisiana","62735","null","2922","null","44060","null","3468","null","849","null","593","null","5354","null","1988","null","5174","1907","null","null","2534","null","1016","null","1583","null","863","null","3015","null","1052","null","166","null","318","null",
"0500000US22007","Assumption Parish, Louisiana","7886","null","1302","null","5159","null","1059","null","448","null","448","null","642","null","375","null","634","343","null","null","281","null","231","null","253","null","331","null","469","null","365","null","0","null","230","null",
"0500000US22009","Avoyelles Parish, Louisiana","14248","null","1463","null","8957","null","1409","null","1221","null","763","null","359","null","319","null","1371","505","null","null","631","null","390","null","522","null","428","null","1187","null","652","null","0","null","230","null",
"0500000US22011","Beauregard Parish, Louisiana","14628","null","1509","null","10666","null","1476","null","226","null","174","null","540","null","444","null","931","439","null","null","273","null","192","null","762","null","459","null","1099","null","666","null","131","null","142","null",
